symbol,listing_date
HONDAPOWER,2003-04-01
HORIZONIND,2026-08-24
HPAL,2021-12-27
HPIL,2022-11-07
HPL,2016-10-04
HRYNSHP,2026-08-17
HSCL,2007-03-02
HTEL,2026-09-01
HTMEDIA,2005-09-01
HUBTOWN,2007-02-07
HUDCO,2017-05-19
HUHTAMAKI,2004-10-01
HYBRIDFIN,2022-12-05
HYUNDAI,2024-10-22
IBULLSLTD,2011-08-18
ICDSLTD,1999-11-17
ICEMAKE,2020-10-12
ICICIAMC,2025-12-19
ICICIBANK,1997-09-17
ICICIGI,2017-09-27
ICICIPRULI,2016-09-29
ICIL,2005-09-12
ICRA,2007-04-13
IDBI,1995-09-20
IDEA,2007-03-09
IDEAFORGE,2023-07-07
IDFCFIRSTB,2015-11-06
IEX,2017-10-23
IFBAGRO,1996-04-03
IFBIND,1995-03-29
IFCI,1995-04-26
IFGLEXPOR,2017-11-14
IGARASHI,2003-10-09
IGCL,2025-07-03
IGIL,2024-12-20
IGL,2003-12-26
IGPL,2007-01-29
IIFL,2005-05-17
IIFLCAPS,2019-09-20
IITL,2010-08-17
IKIO,2023-06-16
IKS,2024-12-19
IL&FSENGG,2007-10-25
IL&FSTRANS,2010-03-30
IMAGICAA,2015-04-06
IMFA,2010-07-23
IMPAL,2005-10-07
IMPEXFERRO,2005-02-03
INA,2026-03-09
INCREDIBLE,2016-07-01
INDBANK,2008-10-08
INDGN,2024-05-13
INDHOTEL,1996-07-03
INDIACEM,2000-05-31
INDIAGLYCO,2005-07-01
INDIAMART,2019-07-04
INDIANB,2007-03-01
INDIANCARD,1997-01-08
INDIANHUME,1995-08-30
INDIASHLTR,2023-12-20
INDIGO,2015-11-10
INDIGOPNTS,2021-02-02
INDIQUBE,2025-07-30
INDNIPPON,1997-05-07
INDOAMIN,2022-04-29
INDOBORAX,2022-03-29
INDOCO,2005-01-14
INDOFARM,2025-01-07
INDOKEM,2026-08-17
INDOMIM,2026-07-30
INDORAMA,2003-06-20
INDOSTAR,2018-05-21
INDOTECH,2006-03-16
INDOTHAI,2011-11-02
INDOUS,2024-09-27
INDOWIND,2007-09-14
INDPRUD,2026-04-20
INDRAMEDCO,1997-04-17
INDSWFTLAB,1997-07-02
INDTERRAIN,2011-03-11
INDUSINDBK,1998-01-28
INDUSTOWER,2012-12-28
INFOBEAN,2019-07-15
INFOMEDIA,2006-10-12
INFY,1995-02-08
INGERRAND,1999-04-15
INNOVACAP,2023-12-29
INNOVANA,2024-12-17
INNOVISION,2026-03-23
INOXGREEN,2022-11-23
INOXINDIA,2023-12-21
INOXWIND,2015-04-09
INSECTICID,2007-05-30
INSPIRISYS,2006-10-30
INTELLECT,2014-12-18
INTENTECH,2017-03-23
INTERARCH,2024-08-26
INTLCONV,2021-09-16
INVENTURE,2011-08-04
INVPRECQ,2026-04-20
IOB,2000-12-07
IOC,1996-07-24
IOLCP,2010-11-08
IONEXCHANG,2022-02-22
IPCALAB,1995-02-08
IPL,2021-07-05
IPRINGLTD,2026-08-17
IRB,2008-02-25
IRCON,2018-09-28
IRCTC,2019-10-14
IREDA,2023-11-29
IRFC,2021-01-29
IRIS,2021-11-08
IRISDOREME,2021-02-22
IRMENERGY,2023-10-26
ISFT,2010-04-12
ISGEC,2021-05-05
ISHANCH,2025-03-24
ISTLTD,2026-08-17
ITC,1995-08-23
ITCHOTELS,2025-01-29
ITDC,2016-12-30
ITI,2003-09-15
ITL,2026-08-17
IVALUE,2025-09-25
IVC,1999-09-15
IVP,1995-09-13
IWP,2026-04-20
IXIGO,2024-06-18
IZMO,2007-02-05
J&KBANK,1998-07-22
JAGRAN,2006-02-22
JAGSNPHARM,2000-03-01
JAIBALAJI,2003-12-09
JAICORPLTD,1997-11-26
JAINREC,2025-10-01
JAIPURKURT,2021-09-02
JAMNAAUTO,2010-12-10
JARO,2025-09-30
JASH,2019-10-30
JAYAGROGN,1996-04-17
JAYBARMARU,1996-01-03
JAYKAY,2025-12-03
JAYKAY-RE1,2026-09-07
JAYNECOIND,1995-05-10
JAYSREETEA,1995-02-15
JBMA,2004-12-17
JENBURPH,2026-08-17
JETFREIGHT,2021-12-21
JGCHEM,2024-03-13
JHS,2006-10-21
JINDALPHOT,2005-04-07
JINDALPOLY,2002-01-21
JINDALSAW,2003-04-29
JINDALSTEL,1999-12-29
JINDRILL,2006-12-22
JINDWORLD,2010-11-25
JIOFIN,2023-08-21
JISLDVREQS,2011-11-30
JISLJALEQS,2001-08-13
JITFINFRA,2017-02-27
JKCEMENT,2006-03-14
JKIL,2008-02-12
JKIPL,2025-10-03
JKLAKSHMI,2006-06-19
JKPAPER,2005-06-16
JKTYRE,2007-03-19
JLHL,2023-09-18
JMA,2015-03-16
JMFINANCIL,2006-10-10
JNKINDIA,2024-04-30
JNPR,2026-08-06
JOCIL,2008-10-08
JPOLYINVST,2013-11-11
JPPOWER,2005-04-18
JSFB,2024-02-14
JSL,2003-11-17
JSLL,2025-08-11
JSWCEMENT,2025-08-14
JSWDULUX,2001-06-28
JSWENERGY,2010-01-04
JSWHL,2005-06-21
JSWINFRA,2023-10-03
JSWSTEEL,2005-03-23
JTEKTINDIA,2004-01-12
JTLIND,2023-06-12
JUBLCPL,2025-02-14
JUBLFOOD,2010-02-08
JUBLINGREA,2021-03-19
JUBLPHARMA,2003-06-16
JUNIPER,2024-02-28
JUSTDIAL,2013-06-05
JWL,2010-10-18
JYOTHYLAB,2007-12-19
JYOTICNC,2024-01-16
JYOTIRES,2026-08-17
JYOTISTRUC,1995-07-19
KABRAEXTRU,1995-09-06
KAJARIACER,2004-06-01
KAKATCEM,1995-12-13
KALAMANDIR,2023-09-27
KALPATARU,2025-07-01
KALYANI,2017-02-13
KALYANIFRG,2007-12-20
KALYANKJIL,2021-03-26
KAMAHOLD,2026-04-20
KAMANWALA,2026-08-17
KAMATHOTEL,1996-05-29
KAMDHENU,2006-05-09
KAMOPAINTS,2023-01-24
KANANIIND,2011-12-14
KANCHI,2026-04-20
KANCOTEA,2026-08-17
KANORICHEM,1995-02-08
KANPRPLA,2021-01-01
KANSAINER,2003-09-15
KAPSTON,2020-05-27
KARMAENG,2011-06-28
KARURVYSYA,2000-07-26
KAUSHALYA,2007-12-14
KAVDEFENCE,2008-01-29
KAYA,2015-08-14
KAYNES,2022-11-22
KCP,1997-04-09
KCPSUGIND,1997-06-11
KDDL,2016-03-23
KDGREEN,2026-08-17
KEC,2006-03-10
KECL,2010-03-09
KEEPLEARN,1995-03-01
KEI,2006-03-23
KELLTONTEC,2016-03-02
KENNAMET,2026-04-20
KERNEX,2005-12-20
KESORAMIND,1995-09-06
KEYFINSERV,1996-06-26
KFINTECH,2022-12-29
KHADIM,2017-11-14
KHAICHEM,2020-10-30
KHAITANLTD,1995-12-20
KHANDSE,2001-02-07
KICL,2011-01-14
KILITCH,2010-09-29
KIMS,2021-06-28
KINGFA,2016-11-15
KIOCL,2016-11-29
KIRANVYPAR,2026-04-20
KIRIINDUS,2008-04-22
KIRLFER,2026-04-20
KIRLOSBROS,2010-04-20
KIRLOSENG,2010-12-24
KIRLOSIND,2010-06-24
KIRLPNU,2023-04-26
KISSHT,2026-05-08
KITEX,2012-09-25
KJMCFIN,2026-08-17
KKCL,2006-04-13
KLBRENG-B,2026-04-20
KMCSHIL,2026-08-17
KMEW,2024-11-14
KMSUGAR,2007-05-31
KNACK,2026-07-08
KNAGRI,2025-12-09
KNRCON,2008-02-18
KOHINOOR,1999-10-20
KOKUYOCMLN,2008-07-28
KOLTEPATIL,2007-12-13
KOPRAN,1999-06-09
KOTAKBANK,1995-12-20
KOTARISUG,2004-12-13
KOTHARIPET,1996-11-02
KOTHARIPRO,1998-06-03
KOTIC,2026-04-20
KOTYARK,2026-03-12
KOVAI,2026-04-20
KPEL,2024-11-14
KPIGREEN,2021-07-27
KPIL,2000-12-15
KPITTECH,2019-04-22
KPL,2026-04-20
KPRMILL,2007-08-28
KRBL,2002-01-21
KREBSBIO,1996-01-03
KRIDHANINF,2015-12-11
KRISHANA,2019-08-22
KRISHIVAL,2025-06-20
KRISHNADEF,2025-12-30
KRITI,2021-11-01
KRITIKA,2022-05-04
KRITINUT,2022-10-07
KRN,2024-10-03
KRONOX,2024-06-10
KROSS,2024-09-16
KRSNAA,2021-08-16
KRYSTAL,2024-03-21
KSB,1995-02-08
KSCL,2007-10-04
KSE,2026-08-17
KSHINTL,2025-12-23
KSHITIJPOL,2022-07-27
KSL,2010-05-19
KSOLVES,2022-09-23
KSR,2025-11-27
KTKBANK,2000-05-10
KUANTUM,2019-10-23
KUSUMGAR,2026-07-15
KWIL,2026-02-16
LADDERUP,2026-08-17
LAGNAM,2021-09-30
LAHOTIOV,2026-04-20
LAKPRE,2006-09-26
LAKSHMIMIL,2026-08-17
LAL,2023-04-10
LALITHAA,2026-08-24
LALPATHLAB,2015-12-23
LAMBODHARA,2015-02-04
LANCER,2026-08-17
LANCORHOL,2024-03-12
LANDMARK,2022-12-23
LANDSMILL,2009-08-03
LAOPALA,2007-03-16
LASA,2017-09-21
LASERPOWER,2026-07-16
LATENTVIEW,2021-11-23
LATTEYS,2023-05-23
LAURUSLABS,2016-12-19
LAXMICOT,2021-11-12
LAXMIDENTL,2025-01-20
LAXMIINDIA,2025-08-05
LCCINFOTEC,2000-03-02
LCL,2026-07-30
LEAPIND,2026-08-14
LEENEE,2026-08-17
LEMERITE,2025-12-12
LEMONTREE,2018-04-09
LENSKART,2025-11-10
LEXUS,2023-03-13
LFIC,2015-04-15
LGBBROSLTD,2010-03-30
LGEINDIA,2025-10-14
LGHL,2023-11-10
LIBAS,2019-07-23
LIBERTSHOE,1995-09-27
LICHSGFIN,1998-07-29
LICI,2022-05-17
LIKHITHA,2020-10-15
LINC,2015-03-09
LINCOLN,2015-12-17
LINDEINDIA,1999-06-16
LKPSEC,2026-08-17
LLOYDSENGG,2016-07-18
LLOYDSENT,2024-10-17
LLOYDSME,2023-07-17
LMW,1995-03-29
LODHA,2021-04-19
LOKESHMACH,2006-05-05
LORDSCHLO,2023-08-28
LOTUSCHO,2026-08-17
LOTUSDEV,2025-08-06
LOTUSEYE,2008-07-11
LOVABLE,2011-03-24
LOYALTEX,2022-08-11
LPDC,2008-08-12
LT,2004-06-23
LTF,2011-08-12
LTFOODS,2006-12-18
LTM,2016-07-21
LTTS,2016-09-23
LUMAXIND,1995-09-06
LUMAXTECH,2007-01-16
LUMINO,2026-09-03
LUPIN,2001-09-10
LUXIND,2015-11-30
LXCHEM,2021-03-25
LYKALABS,1995-02-08
M&M,1996-01-03
M&MFIN,2006-03-17
MAANALU,2007-10-22
MACPOWER,2020-08-19
MADHAV,2007-12-20
MADHAVIPL,2026-04-20
MADHUCON,2006-10-05
MADRASFERT,1997-07-25
MAFATIND,2026-04-20
MAGADSUGAR,2017-07-28
MAGNUM,2007-09-20
MAHABANK,2004-04-12
MAHAPEXLTD,1998-01-21
MAHASTEEL,2016-07-01
MAHEPC,2020-02-14
MAHESHWARI,2019-04-15
MAHLIFE,2000-05-10
MAHLOG,2017-11-10
MAHSCOOTER,1995-02-08
MAHSEAMLES,2004-08-25
MAITHANALL,2011-07-05
MAJESAUT,2026-04-20
MAKERSL,2026-08-17
MALLCOM,2022-02-02
MALUPAPER,2006-04-05
MAMATA,2024-12-27
MANAKALUCO,2015-03-30
MANAKCOAT,2015-03-30
MANAKSIA,2008-01-08
MANAKSTEEL,2015-03-30
MANALIPETC,2006-12-06
MANAPPURAM,2014-12-01
MANBA,2024-09-30
MANCREDIT,2024-08-16
MANGALAM,2005-05-23
MANGLMCEM,1996-01-03
MANINDS,2005-06-24
MANINFRA,2010-03-11
MANIPALHOS,2026-08-05
MANKIND,2023-05-09
MANOMAY,2023-01-18
MANORAMA,2022-07-01
MANORG,2021-11-02
MANUGRAPH,2006-09-14
MANYAVAR,2022-02-16
MAPMYINDIA,2021-12-21
MARALOVER,1995-02-08
MARATHON,2016-09-29
MARICO,1996-05-01
MARINE,2020-12-02
MARKOLINES,2025-10-14
MARKSANS,2002-01-21
MARSONS,2026-03-13
MARUTI,2003-07-09
MASFIN,2017-10-18
MASKINVEST,2016-10-14
MASTEK,1995-05-10
MASTERTR,2024-11-12
MATRIMONY,2017-09-21
MAWANASUG,2009-03-20
MAXESTATES,2023-10-30
MAXHEALTH,2020-08-21
MAXIND,2020-08-28
MAYURUNIQ,2012-09-25
MAZDA,2016-11-01
MAZDOCK,2020-10-12
MBAPL,2019-08-22
MBECL,2006-10-06
MBEL,2025-08-06
MBLINFRA,2010-01-11
MCCHRLS-B,2026-04-20
MCL,2020-08-19
MCLEODRUSS,2005-07-29
MCLOUD,2025-02-07
MCX,2012-03-09
MEDANTA,2022-11-16
MEDIASSIST,2024-01-23
MEDICAMEQ,2021-10-27
MEDICAPQ,2026-08-17
MEDICO,2022-05-26
MEDPLUS,2021-12-23
MEESHO,2025-12-10
MEGASTAR,2022-02-16
MEIL,2025-08-28
MENNPIS,2026-04-20
MENONBE,2015-03-09
MEP,2015-05-06
MERCANTILE,2026-04-20
MERCURYEV,2026-06-02
METROBRAND,2021-12-22
METROGLOBL,2026-04-20
METROPOLIS,2019-04-15
MFML,2024-08-27
MFSL,2000-05-17
MGEL,2020-12-23
MGL,2016-07-01
MHLXMIRU,2022-01-27
MHRIL,2009-07-16
MICEL,2021-12-17
MIDHANI,2018-04-04
MIDWESTLTD,2025-10-24
MIIL,2026-08-17
MILKYMIST,2026-08-18
MINALIND,2026-08-17
MINDACORP,2014-10-16
MINDTECK,2016-08-02
MIRZAINT,1999-04-28
MITCON,2022-03-17
MITTAL,2020-04-29
MKEXIM,2026-08-17
MKPL,2023-06-13
MLKFOOD,2026-08-17
MMFL,2006-12-20
MMP,2020-01-09
MMTC,2012-04-09
MMWL,2026-04-20
MOBIKWIK,2024-12-18
MODINATUR,2025-12-11
MODIRUBBER,1996-02-07
MODIS,2025-11-14
MODISONLTD,2021-05-03
MODTHREAD,1995-11-22
MOHITE,2026-08-17
MOHITIND,2013-03-14
MOIL,2010-12-15
MOKSH,2021-05-21
MOL,2021-08-18
MOLBIO,2026-08-17
MOLDTECH,2016-07-07
MOLDTKPAC,2015-02-23
MONARCH,2022-01-06
MONEYBOXX,2025-10-15
MONTECARLO,2014-12-19
MORARJEE,2012-09-14
MOREPENLAB,1999-11-24
MOSCHIP,2025-02-05
MOTHERSON,1996-08-14
MOTILALOFS,2007-09-11
MOTISONS,2023-12-26
MOTOGENFIN,1995-02-08
MPDL,2026-08-17
MPHASIS,2004-06-04
MPSLTD,2002-01-21
MRF,1996-09-18
MRPL,2005-01-07
MSL,2026-08-17
MSPL,2005-07-18
MSTCLTD,2019-03-29
MSUMI,2022-03-28
MTARTECH,2021-03-15
MTEDUCARE,2012-04-12
MTNL,1999-02-17
MUFIN,2023-11-06
MUFTI,2023-12-27
MUKANDLTD,2004-02-23
MUKESHB,2026-08-17
MUKKA,2024-03-07
MUKTAARTS,2000-09-12
MUNJALAU,2006-07-19
MUNJALSHOW,2003-05-12
MURUDCERA,2004-05-28
MUTHOOTCAP,2015-08-24
MUTHOOTFIN,2011-05-06
MUTHOOTMF,2023-12-26
MVELECTRO,2026-08-06
MVGJL,2023-10-03
MWL,2025-09-18
MYSORPETRO,2026-08-17
NACLIND,2017-04-07
NAGAFERT,2016-06-15
NAGREEKCAP,2007-09-18
NAGREEKEXP,2007-06-18
NAHARCAP,2008-03-11
NAHARINDUS,2005-12-15
NAHARPOLY,2007-03-23
NAHARSPING,2007-03-23
NAM-INDIA,2017-11-06
NARMADA,2022-10-27
NATCAPSUQ,2025-02-14
NATCOPHARM,1995-12-27
NATHBIOGEN,2014-01-28
NATIONALUM,1999-04-28
NATIONSTD,2026-04-20
NAUKRI,2006-11-21
NAVA,1996-04-03
NAVINFLUOR,2007-06-01
NAVKARCORP,2015-09-09
NAVKARURB,2025-01-17
NAVNETEDUL,1995-02-08
NAZARA,2021-03-30
NBCC,2012-04-12
NBIFIN,2016-11-23
NCC,2003-10-14
NCLIND,2007-04-03
NDGL,2016-08-29
NDL,2012-03-23
NDLVENTURE,2007-04-24
NDRAUTO,2020-07-30
NDTV,2004-05-19
NEAGI,2026-04-20
NECCLTD,2016-03-02
NECLIFE,2005-07-18
NELCAST,2007-06-27
NELCO,2003-05-28
NEOGEN,2019-05-08
NEPHROPLUS,2025-12-17
NESCO,2008-04-08
NESTLEIND,2023-08-01
NETWEB,2023-07-27
NETWORK18,2007-02-02
NEUEON,2013-09-11
NEULANDLAB,2008-10-13
NEWGEN,2018-01-29
NEXTMEDIA,2001-04-04
NFL,2006-12-28
NGIL,2021-08-20
NGLFINE,2022-07-08
NH,2016-01-06
NHPC,2009-09-01
NIACL,2017-11-13
NIBE,2025-02-07
NIBL,2013-04-09
NICCOPAR,2026-08-17
NIITLTD,2004-08-16
NIITMTS,2023-08-08
NILAINFRA,2015-05-21
NILASPACES,2018-12-28
NILE,2026-04-20
NILKAMAL,1995-11-01
NIMBSPROJ,2026-04-06
NINSYS,2023-02-21
NIPPOBATRY,1999-10-06
NIRAJ,2020-10-01
NIRAJISPAT,2016-10-27
NIRLON,2026-04-20
NITCO,2006-03-21
NITINSPIN,2006-02-02
NITIRAJ,2021-04-22
NITTAGELA,2026-04-20
NIVABUPA,2024-11-14
NKIND,1995-07-07
NLCINDIA,2000-08-23
NMDC,2008-03-03
NOCIL,1996-01-17
NOIDATOLL,2002-12-06
NORBTEAEXP,1996-06-26
NORTHARC,2024-09-24
NOVAAGRI,2024-01-31
NOVARTIND,2026-04-20
NPST,2025-04-30
NRAIL,2017-04-05
NRBBEARING,2000-03-08
NRL,2023-01-12
NSIL,2003-11-17
NSLNISP,2023-02-20
NTCIND,2026-08-17
NTPC,2004-11-05
NTPCGREEN,2024-11-27
NUCLEUS,2002-12-19
NURECA,2021-02-25
NUVAMA,2023-09-26
NUVOCO,2021-08-23
NYKAA,2021-11-10
OAL,2019-07-11
OBCL,2022-04-07
OBEROIRLTY,2010-10-20
OCCLLTD,2024-10-29
ODIGMA,2024-12-12
ODYCORP,2026-08-17
OFSS,2002-06-28
OIL,2009-09-30
OILCOUNTUB,1995-08-30
OLAELEC,2024-08-09
OLECTRA,2002-03-20
OMAXAUTO,2003-02-20
OMAXE,2007-08-09
OMFREIGHT,2025-10-08
OMINFRAL,2011-06-17
OMNI,2026-03-05
OMPOWER,2026-04-17
ONEGLOBAL,2026-08-17
ONELIFECAP,2011-10-17
ONEPOINT,2019-05-09
ONESOURCE,2025-01-24
ONGC,1995-07-19
ONIDA,2004-05-24
ONIXSOLAR,2026-08-17
ONMOBILE,2008-02-19
ONWARDTEC,2001-03-07
OPTIEMUS,2017-08-08
OPTIFIN,2026-08-17
ORBTEXP,2013-11-05
ORCHASP,2025-02-07
ORCHPHARMA,2020-11-02
ORICONENT,2015-07-24
ORIENTALTL,2007-03-07
ORIENTBELL,2007-02-14
ORIENTCEM,2013-07-12
ORIENTCER,2005-12-15
ORIENTELEC,2018-05-14
ORIENTHOT,1998-08-27
ORIENTLTD,2010-03-03
ORIENTPPR,1995-03-29
ORIENTTECH,2024-08-28
ORIRAIL,2026-08-17
ORISSAMINE,2010-09-29
ORKLAINDIA,2025-11-06
ORTEL,2015-03-19
ORTINGLOBE,2021-03-30
OSIAHYPER,2022-12-01
OSWALAGRO,1995-03-29
OSWALGREEN,1996-08-28
OSWALPUMPS,2025-06-20
OSWALSEEDS,2023-02-28
PACEDIGITK,2025-10-06
PACIFICI,2026-08-17
PAGEIND,2007-03-16
PAISALO,2011-10-17
PAKKA,2023-07-11
PALASHSECU,2017-07-28
PALREDTEC,2016-05-09
PANACEABIO,1996-04-17
PANACHE,2020-01-06
PANAMAPET,2011-09-30
PANCHMAHQ,2026-08-17
PANORAMA,2026-08-17
PANSARI,2021-10-18
PAR,2021-09-16
PARACABLES,2007-01-03
PARADEEP,2022-05-27
PARAGMILK,2016-05-19
PARAS,2021-10-01
PARASPETRO,1996-02-14
PARKHOSPS,2025-12-17
PARKHOTELS,2024-02-12
PARNAXLAB,2026-08-17
PARSVNATH,2006-11-30
PASHUPATI,2025-07-17
PASUPTAC,2021-10-12
PATANJALI,2020-01-24
PATELENG,2005-02-24
PATELRMART,2025-08-26
PATINTLOG,2008-01-11
PAUSHAKLTD,2025-12-01
PAVNAIND,2023-06-01
PAYTM,2021-11-18
PBMPOLY,2026-08-17
PCBL,1995-03-29
PCJEWELLER,2012-12-27
PDMJEPAPER,2016-03-30
PDSL,2014-10-21
PEARLPOLY,1995-10-11
PENIND,2010-11-25
PENINLAND,1995-02-08
PERMAGN,2026-08-17
PERNIASPOP,2026-09-07
PERSISTENT,2010-04-06
PETRONET,2004-03-26
PFC,2007-02-23
PFIZER,1999-04-28
PFOCUS,2006-06-20
PFS,2011-03-30
PGEL,2011-09-26
PGHH,2004-07-07
PGHL,1996-04-24
PGIL,2007-02-15
PHOENIXLTD,2007-04-23
PHOENXINTL,2026-08-17
PICCADIL,2025-07-02
PIDILITIND,1995-03-29
PIGL,2023-05-17
PIIND,2011-06-15
PILANIINVS,2015-12-08
PILITA,2013-10-07
PINELABS,2025-11-14
PIONEEREMB,2006-05-16
PIONRINV,2026-04-20
PIRAMALFIN,2025-11-07
PITTIENG,2007-02-02
PIXTRANS,2022-04-28
PKTEA,2015-08-19
PLASTIBLEN,2006-12-28
PLATIND,2024-03-05
PLAZACABLE,2023-10-12
PML,2026-04-20
PNB,2002-04-24
PNBGILTS,2000-09-18
PNBHOUSING,2016-11-07
PNC,2000-12-11
PNCINFRA,2015-05-26
PNGJL,2024-09-17
PNGSREVA,2026-03-04
POCL,2023-03-06
PODDARMENT,2016-11-22
POEL,2026-08-17
POKARNA,2016-07-07
POLICYBZR,2021-11-15
POLYCAB,2019-04-16
POLYMED,2011-12-07
POLYPLEX,2003-04-11
POLYSPIN,2026-08-17
PONNIERODE,2002-04-16
POONAWALLA,2004-04-27
POWERGRID,2007-10-05
POWERICA,2026-04-02
POWERINDIA,2020-03-30
POWERMECH,2015-08-26
PPAP,2008-01-11
PPL,2019-06-14
PPLPHARMA,2022-10-19
PRABHA,2025-03-19
PRADPME,2026-04-20
PRAENG,2007-01-02
PRAJIND,1995-10-11
PRAKASH,1995-05-10
PRAKASHSTL,2010-08-25
PRAVEG,2026-04-20
PRAXIS,2018-01-31
PRECAM,2016-02-08
PRECOT,2005-08-19
PRECWIRE,1995-09-06
PREMCO,2026-04-20
PREMEXPLN,2016-06-17
PREMIER,1996-04-03
PREMIERENE,2024-09-03
PREMIERPOL,1995-12-13
PRESTIGE,2010-10-27
PRICOLLTD,2017-02-10
PRIMESECU,2005-06-17
PRIMO,2025-04-22
PRINCEPIPE,2019-12-30
PRIORITY,2026-09-04
PRISMX,2026-08-17
PRITI,2022-03-02
PRITIKAUTO,2021-08-10
PRIVISCL,2015-05-08
PROSTARM,2025-06-03
PROTEAN,2025-02-06
PROZONER,2012-09-12
PRSMJOHNSN,2003-08-20
PRUDENT,2022-05-20
PRUDMOULI,1995-05-10
PSB,2010-12-30
PSPPROJECT,2017-05-29
PTC,2004-04-07
PTCIL,2023-06-09
PTL,2007-01-29
PUNJABCHEM,2007-03-08
PURVA,2007-08-30
PVP,1996-04-03
PVRINOX,2006-01-04
PVSL,2024-03-19
PWL,2025-11-18
PYRAMID,2023-08-29
QMSMEDI,2026-06-18
QPOWER,2025-02-24
QUADFUTURE,2025-01-14
QUESS,2016-07-12
QUICKHEAL,2016-02-18
QUINT,2026-04-20
QUINTEGRA,2000-12-20
RACE,2023-05-09
RACLGEAR,2024-11-27
RADAAN,2003-02-27
RADHIKAJWE,2022-07-18
RADIANTCMS,2023-01-04
RADICO,2003-06-18
RADIOCITY,2017-03-17
RAILTEL,2021-02-26
RAIN,2008-03-03
RAINBOW,2022-05-10
RAJESHEXPO,2000-02-09
RAJMET,2021-02-16
RAJOOENG,2025-05-29
RAJPALAYAM,2026-04-20
RAJRATAN,2020-05-22
RAJRILTD,2022-03-16
RAJSREESUG,1995-03-29
RAJTV,2007-03-16
RAJVIR,2005-09-20
RALLIS,1999-04-01
RAMANEWS,2006-09-20
RAMAPHO,2022-08-05
RAMASTEEL,2015-08-19
RAMBHAJO,2026-07-01
RAMCOCEM,1997-04-09
RAMCOIND,1996-11-06
RAMCOSYS,2000-04-12
RAMKY,2010-10-08
RAMRAT,2022-07-29
RANASUG,2005-02-24
RANEHOLDIN,1997-09-24
RATEGAIN,2021-12-17
RATNAMANI,2006-05-09
RATNAVEER,2023-09-11
RAYMOND,1995-10-18
RAYMONDLSL,2024-09-05
RAYMONDREL,2025-07-01
RBA,2020-12-14
RBLBANK,2016-08-31
RBZJEWEL,2023-12-27
RCF,1998-01-07
RCOM,2006-03-06
RECLTD,2008-03-12
REDINGTON,2007-02-15
REDTAPE,2023-08-11
REFEX,2009-12-03
REGAAL,2025-08-20
REGENCERAM,1996-06-05
RELAXO,2011-06-17
RELCHEMQ,2022-05-25
RELIABLE,2024-07-10
RELIANCE,1995-11-29
RELIGARE,2007-11-21
RELINFRA,1995-02-08
RELTD,2024-07-30
REMSONSIND,1996-01-31
RENUKA,2005-10-31
REPCOHOME,2013-04-01
REPL,2020-12-14
REPRO,2005-12-22
RESPONIND,2010-10-29
RETAIL,2024-06-26
RGL,2007-12-12
RHETAN,2025-09-26
RHFL,2017-09-22
RHIM,2012-03-12
RHL,2023-04-25
RICOAUTO,2003-05-12
RIIL,1995-11-29
RIR,2026-07-16
RISHABH,2023-09-11
RITCO,2022-04-12
RITES,2018-07-02
RKDL,2010-12-27
RKEC,2020-12-18
RKFORGE,2004-05-05
RKSWAMY,2024-03-12
RMC,2026-04-01
RMDRIP,2025-07-30
RML,2005-08-30
RNBDENIMS,2025-09-04
ROHLTD,2006-02-06
ROLEXRINGS,2021-08-09
ROLLT,2016-11-22
ROML,2020-10-06
ROSSARI,2020-07-23
ROSSELLIND,2012-09-25
ROSSTECH,2024-12-09
ROTO,2022-04-21
ROUTE,2020-09-21
RPEL,2024-08-08
RPGLIFE,2008-06-10
RPOWER,2008-02-11
RPPINFRA,2010-12-06
RPPL,2021-11-26
RPSGVENT,2019-01-25
RPTECH,2024-02-14
RRECL,2026-08-17
RRIL,2026-04-20
RRKABEL,2023-09-20
RSDFIN,2026-04-20
RSL,2026-03-19
RSSOFTWARE,1999-05-19
RSWM,1995-02-15
RSYSTEMS,2006-04-26
RTNINDIA,2012-07-30
RTNPOWER,2009-10-30
RTSPOWR,2026-08-17
RUBFILA,2024-08-08
RUBICON,2025-10-16
RUBYMILLS,1995-03-29
RUCHINFRA,1996-10-16
RUCHIRA,2006-12-20
RUDRA,2025-12-19
RUPA,2011-12-07
RUSHIL,2011-07-07
RUSTOMJEE,2022-11-24
RVHL,2020-12-18
RVNL,2019-04-11
RVTH,2024-09-11
S&SPOWER,1995-09-27
SAATVIKGL,2025-09-26
SAB,2026-08-17
SADBHAV,2006-03-01
SADBHIN,2015-09-16
SADHNANIQ,2023-05-05
SAFARI,2019-09-12
SAGARDEEP,2019-01-25
SAGCEM,2007-01-29
SAGILITY,2024-11-12
SAHLIBHFI,2026-04-10
SAHYADRI,2023-04-06
SAICAPI,2026-08-17
SAIL,1995-07-06
SAILIFE,2024-12-18
SAIPARENT,2026-04-02
SAKAR,2019-04-11
SAKHTISUG,1995-09-06
SAKSOFT,2005-05-09
SAKUMA,2006-03-08
SALASAR,2017-07-25
SALONA,2016-06-16
SALSTEEL,2004-11-24
SALZERELEC,2015-12-02
SAMBANDAM,2026-08-17
SAMBHAAV,1996-06-05
SAMBHV,2025-07-02
SAMHI,2023-09-22
SAMMAANCAP,2013-07-23
SAMPANN,2012-07-27
SANATHAN,2024-12-27
SANDESH,2002-11-26
SANDHAR,2018-04-02
SANDUMA,2023-09-07
