symbol,listing_date
ASTRAMICRO,2004-11-01
ASTRAZEN,2001-05-04
ASTRON,2017-12-29
ATALREAL,2023-05-12
ATAM,2023-05-10
ATGL,2018-11-05
ATHERENERG,2025-05-06
ATL,2023-08-10
ATLANTAA,2006-09-25
ATLANTAELE,2025-09-29
ATLASCYCLE,1996-10-23
ATUL,1998-05-06
ATULAUTO,2013-06-26
AUBANK,2017-07-10
AUGMONT,2026-08-31
AURIONPRO,2005-10-25
AUROPHARMA,2000-07-19
AURUM,2015-08-19
AURUS,2013-11-05
AUSOMENT,1996-04-17
AUSTENG,2026-08-17
AUTOAXLES,2003-05-29
AUTOIND,2007-01-31
AVADHSUGAR,2017-07-28
AVALON,2023-04-18
AVANCE,2026-08-17
AVANTEL,2024-07-31
AVANTIFEED,2015-04-15
AVG,2023-05-12
AVL,2024-11-06
AVONMORE,2023-01-04
AVROIND,2022-04-07
AVTNPL,2007-01-10
AWFIS,2024-05-30
AWHCL,2021-01-01
AWL,2022-02-08
AXISBANK,1998-11-16
AXISCADES,2000-12-21
AXITA,2022-06-21
AXTEL,2026-08-17
AYE,2026-02-16
AYMSYNTEX,2015-08-14
AZAD,2023-12-28
AZADIND,2026-08-17
BAFNAPH,2020-02-27
BAGFILMS,2003-10-17
BAIDFIN,2023-01-20
BAJAJ-AUTO,2008-05-26
BAJAJCON,2010-08-18
BAJAJELEC,2007-11-02
BAJAJFINSV,2008-05-26
BAJAJHCARE,2021-11-25
BAJAJHFL,2024-09-16
BAJAJHIND,1995-05-10
BAJAJHLDNG,1995-03-15
BAJAJINDEF,2025-02-21
BAJAJST,2026-04-20
BAJEL,2023-12-19
BAJFINANCE,2003-04-01
BALAJEE,2024-09-12
BALAJITELE,2000-11-22
BALAMINES,2007-04-05
BALAXI,2015-11-30
BALKRISHNA,2015-07-28
BALKRISIND,2006-01-27
BALMLAWRIE,1995-07-06
BALPHARMA,2006-05-08
BALRAMCHIN,1995-02-08
BALUFORGE,2024-04-29
BANARBEADS,1995-07-07
BANARISUG,2003-05-28
BANCOINDIA,2006-12-22
BANDHANBNK,2018-03-27
BANG,2008-02-20
BANKA,2020-10-29
BANKBARODA,1997-02-19
BANKINDIA,1997-04-30
BANSALWIRE,2024-07-10
BANSWRAS,2007-04-11
BASF,1995-05-17
BASML,2005-11-14
BATAINDIA,2003-06-18
BATLIBOI,2026-04-20
BAYERCROP,2010-01-08
BBL,2006-11-21
BBOX,2003-07-22
BBTC,1996-04-03
BBTCL,2022-11-23
BCG,2015-05-08
BCLIND,2021-03-04
BCONCEPTS,2022-01-11
BCPL,2026-03-27
BDL,2018-03-23
BEARDSELL,2015-01-13
BECTORFOOD,2020-12-24
BEDMUTHA,2010-10-14
BEEKAY,2026-04-20
BEL,2000-07-19
BELLACASA,2025-07-18
BELRISE,2025-05-28
BEML,2003-11-05
BENARAS,2026-08-17
BENGALASM,2026-04-20
BEPL,2005-03-21
BERGEPAINT,1999-11-24
BESTAGRO,2024-04-10
BETA,2025-11-24
BFINVEST,2011-01-14
BFUTILITIE,2007-05-03
BGLOBAL,2011-07-28
BGRENERGY,2008-01-03
BHAGCHEM,2021-10-18
BHAGERIA,2016-03-02
BHAGYANGR,2017-05-17
BHANDARI,2017-01-30
BHARATCOAL,2026-01-19
BHARATFORG,2003-04-04
BHARATGEAR,1996-04-03
BHARATRAS,1995-10-11
BHARATSE,2025-03-24
BHARATWIRE,2016-04-01
BHARTIARTL,2002-02-15
BHARTIHEXA,2024-04-12
BHEL,2003-11-11
BI,2026-04-20
BIGBLOC,2016-09-02
BIKAJI,2022-11-16
BIL,2000-04-12
BILVYAPAR,2006-09-27
BIMETAL,2026-04-20
BIOCON,2004-04-07
BIOFILCHEM,1996-06-12
BIRLACABLE,1995-12-06
BIRLACORPN,1995-04-12
BIRLAMONEY,2008-02-07
BIRLANU,1995-04-26
BIRLAPREC,2026-04-20
BLACKBUCK,2024-11-22
BLACKROSE,2026-04-20
BLAL,2023-04-19
BLBLIMITED,2000-05-31
BLEL,2026-08-19
BLIL,2026-04-20
BLISSGVS,2010-07-26
BLKASHYAP,2006-03-17
BLS,2016-06-14
BLSE,2024-02-06
BLUECHIP,1997-03-12
BLUECLOUDS,2026-08-17
BLUECOAST,2000-02-16
BLUEDART,2002-12-12
BLUEJET,2023-11-01
BLUESTARCO,2000-06-15
BLUESTONE,2025-08-19
BLUSPRING,2025-06-11
BMWVENTLTD,2025-10-01
BNAGROCHEM,2026-04-20
BNALTD,2026-04-20
BODALCHEM,2011-08-22
BOHRAIND,2022-10-27
BOMDYEING,1995-04-26
BONLON,2026-02-20
BORANA,2025-05-27
BOROLTD,2020-07-22
BORORENEW,2018-05-25
BOROSCI,2024-06-07
BOSCH-HCIL,2000-01-03
BOSCHLTD,2003-05-12
BPCL,1995-09-13
BPL,1995-06-14
BPLPHARMA,2026-08-17
BRAHMINFRA,2026-08-17
BRIGADE,2007-12-31
BRIGHOTEL,2025-07-31
BRIGHTBR,2026-08-17
BRITANNIA,1998-11-05
BRNL,2017-09-18
BROOKS,2011-09-05
