rebalance_date,symbol,weight
2019-06-01,ABBOTINDIA,0.011111111111111112
2019-06-01,ALKYLAMINE,0.011111111111111112
2019-06-01,ALPHAGEO,0.011111111111111112
2019-06-01,AMBUJACEM,0.011111111111111112
2019-06-01,APARINDS,0.011111111111111112
2019-06-01,APLAPOLLO,0.011111111111111112
2019-06-01,ASIANPAINT,0.011111111111111112
2019-06-01,AUROPHARMA,0.011111111111111112
2019-06-01,BAJAJ-AUTO,0.011111111111111112
2019-06-01,BALAXI,0.011111111111111112
2019-06-01,BALKRISIND,0.011111111111111112
2019-06-01,BBTC,0.011111111111111112
2019-06-01,BDL,0.011111111111111112
2019-06-01,BEL,0.011111111111111112
2019-06-01,BHARATFORG,0.011111111111111112
2019-06-01,BHARATRAS,0.011111111111111112
2019-06-01,BLS,0.011111111111111112
2019-06-01,BLUESTARCO,0.011111111111111112
2019-06-01,BOMDYEING,0.011111111111111112
2019-06-01,BOSCHLTD,0.011111111111111112
2019-06-01,BPCL,0.011111111111111112
2019-06-01,BRITANNIA,0.011111111111111112
2019-06-01,COALINDIA,0.011111111111111112
2019-06-01,COLPAL,0.011111111111111112
2019-06-01,COROMANDEL,0.011111111111111112
2019-06-01,DIVISLAB,0.011111111111111112
2019-06-01,DIXON,0.011111111111111112
2019-06-01,DRREDDY,0.011111111111111112
2019-06-01,EICHERMOT,0.011111111111111112
2019-06-01,EXCELINDUS,0.011111111111111112
2019-06-01,EXIDEIND,0.011111111111111112
2019-06-01,GAIL,0.011111111111111112
2019-06-01,GARFIBRES,0.011111111111111112
2019-06-01,GMBREW,0.011111111111111112
2019-06-01,GODFRYPHLP,0.011111111111111112
2019-06-01,GRAPHITE,0.011111111111111112
2019-06-01,GRASIM,0.011111111111111112
2019-06-01,GUJALKALI,0.011111111111111112
2019-06-01,HAL,0.011111111111111112
2019-06-01,HCLTECH,0.011111111111111112
2019-06-01,HEG,0.011111111111111112
2019-06-01,HEROMOTOCO,0.011111111111111112
2019-06-01,HINDALCO,0.011111111111111112
2019-06-01,HINDPETRO,0.011111111111111112
2019-06-01,HINDUNILVR,0.011111111111111112
2019-06-01,IGPL,0.011111111111111112
2019-06-01,INFY,0.011111111111111112
2019-06-01,IOC,0.011111111111111112
2019-06-01,IPCALAB,0.011111111111111112
2019-06-01,ITC,0.011111111111111112
2019-06-01,JSL,0.011111111111111112
2019-06-01,JSWSTEEL,0.011111111111111112
2019-06-01,JUBLFOOD,0.011111111111111112
2019-06-01,KEI,0.011111111111111112
2019-06-01,KELLTONTEC,0.011111111111111112
2019-06-01,KKCL,0.011111111111111112
2019-06-01,KPRMILL,0.011111111111111112
2019-06-01,LTTS,0.011111111111111112
